TRACK_SUMMARY_SK,TRACK_SK,SNAPSHOT_DATE_SK,COURSE_COUNT,TOTAL_CHAPTERS,TOTAL_EXERCISES,TOTAL_VIDEOS,TOTAL_XP,AVG_XP_PER_COURSE,AVG_TIME_HOURS,TOTAL_DURATION_HOURS,DATASETS_COUNT,PARTICIPANT_COUNT,IS_CAREER_FLAG,PREDOMINANT_DIFFICULTY_SK,LOAD_TS
102,102,3,3,8,85,30,6900,2300.00,3.00,8.00,3,5910,false,2,2025-11-24 20:09:53.593
103,103,3,4,17,219,61,16650,4163.00,4.00,16.00,27,7068,false,3,2025-11-24 20:09:53.593
104,104,3,13,53,682,194,54000,4154.00,4.00,52.00,35,13741,true,2,2025-11-24 20:09:53.593
105,105,3,5,20,260,73,20450,4090.00,4.00,20.00,20,28175,false,2,2025-11-24 20:09:53.593
106,106,3,5,20,260,74,20450,4090.00,4.00,20.00,17,23301,false,2,2025-11-24 20:09:53.593
107,107,3,6,25,295,87,23100,3850.00,4.00,25.00,18,4217,false,2,2025-11-24 20:09:53.593
108,108,3,6,24,313,88,25700,4283.00,4.00,25.00,30,2689,false,2,2025-11-24 20:09:53.593
109,109,3,4,12,202,73,16050,4013.00,5.00,20.00,4,38940,false,1,2025-11-24 20:09:53.593
110,110,3,4,17,227,61,18900,4725.00,4.00,16.00,16,7216,false,2,2025-11-24 20:09:53.593
111,111,3,5,20,250,76,20650,4130.00,4.00,20.00,11,2389,false,1,2025-11-24 20:09:53.593
112,112,3,5,22,252,73,20300,4060.00,4.00,21.00,10,2610,false,2,2025-11-24 20:09:53.593
113,113,3,5,22,283,78,23800,4760.00,4.00,20.00,17,26105,false,2,2025-11-24 20:09:53.593
114,114,3,5,17,188,63,11800,2360.00,2.00,10.00,2,383172,false,1,2025-11-24 20:09:53.593
115,115,3,2,5,54,16,4400,2200.00,3.00,6.00,0,2075,false,2,2025-11-24 20:09:53.593
